date,latitude,longitude,number,expver,u10,v10,tp,u100,v100,si10,msr,msmr,ssr,es
19400101,34.24,75.24,0,0001,-0.9826959,-0.55554754,0.0048611015,-1.4303923,0.0062899366,1.567853,5.6212637e-05,1.1270902e-07,2653199.0,-2.1115542e-05
19400201,34.24,75.24,0,0001,-0.8798413,-0.52152854,0.00384152,-1.340724,-0.09039736,1.4693737,4.4388056e-05,2.434245e-07,3451938.0,-3.7112448e-05
19400301,34.24,75.24,0,0001,-0.73733866,-0.33460486,0.005517062,-1.0334148,0.13136101,1.3257809,6.2343024e-05,1.389958e-06,4335451.0,-6.0820545e-05
19400401,34.24,75.24,0,0001,-0.8428662,-0.38905668,0.004513759,-1.4273968,-0.13525009,1.3625822,4.977775e-05,3.098321e-05,7469266.0,-0.0002205757
19400501,34.24,75.24,0,0001,-0.9776257,-0.42916304,0.0016948348,-1.5728054,-0.2367301,1.5145321,1.4430365e-05,8.824107e-05,13186319.0,-0.00015422227
19400601,34.24,75.24,0,0001,-0.4853583,-0.21151394,0.0019669174,-0.8437868,-0.25800604,1.1265984,6.267439e-06,6.107229e-05,19137548.0,-0.000119349745
19400701,34.24,75.24,0,0001,-0.08573645,0.11820763,0.0026351972,0.13850534,0.32940346,1.0838175,3.358561e-07,9.1852635e-05,17935846.0,-3.4381155e-05
19400801,34.24,75.24,0,0001,0.22996324,0.31195283,0.0035129972,0.4439116,0.56598693,1.2225285,2.7416824e-08,8.225044e-08,19246044.0,-5.355105e-09
19400901,34.24,75.24,0,0001,-0.079402566,0.107845664,0.0019203504,-0.001905411,0.298652,1.4248829,1.2160029e-05,5.17466e-06,16985972.0,-2.6086665e-05
19401001,34.24,75.24,0,0001,-0.5482949,-0.116764605,0.00069662556,-0.8836348,0.0019051782,1.230937,5.9432923e-06,1.1876955e-06,11619043.0,-1.7371203e-05
19401101,34.24,75.24,0,0001,-0.6903907,-0.27670324,0.00018012493,-1.2198601,-0.20906168,1.3169584,2.0098078e-06,3.4721438e-07,9918477.0,-4.4005665e-06
19401201,34.24,75.24,0,0001,-0.9794951,-0.5521699,0.0016678362,-1.3762493,-0.16856366,1.608139,1.9199826e-05,5.338527e-08,3834411.0,-3.7261925e-05
19410101,34.24,75.24,0,0001,-1.0611572,-0.6755178,0.003447233,-1.5098171,-0.17706108,1.6751957,3.985902e-05,7.5471235e-08,2634908.0,-1.4599265e-05
19410201,34.24,75.24,0,0001,-0.89930886,-0.59582675,0.002770261,-1.1569757,-0.07022244,1.503787,3.1711403e-05,7.1881726e-07,3965227.0,-4.1576568e-05
19410301,34.24,75.24,0,0001,-0.9309911,-0.525508,0.006946191,-1.6449957,-0.3831343,1.3995523,7.9276564e-05,1.1379561e-06,4182767.0,-5.4245887e-05
19410401,34.24,75.24,0,0001,-0.7951061,-0.38009048,0.0013835775,-1.2823267,-0.18136388,1.265562,1.3622676e-05,5.417291e-05,8056017.0,-0.00017485446
19410501,34.24,75.24,0,0001,-0.6870616,-0.32794082,0.0021448957,-1.1038685,-0.3409112,1.252142,1.1689844e-05,7.2918905e-05,16246858.0,-0.00018676682
19410601,34.24,75.24,0,0001,-0.21266699,-0.07096237,0.0018296842,-0.19342947,-0.19444913,1.1043777,1.1189486e-06,8.034735e-05,20130932.0,-8.083033e-05
19410701,34.24,75.24,0,0001,0.31589556,0.21214402,0.002505021,0.585378,0.3327667,1.270958,0.0,2.536056e-07,20767752.0,-1.6298147e-09
19410801,34.24,75.24,0,0001,0.21082652,0.1387626,0.004478175,0.36296612,0.20909107,1.1007719,0.0,0.0,17759072.0,-1.3969841e-09
19410901,34.24,75.24,0,0001,-0.06900895,0.00282472,0.0014059169,0.055398375,0.06450373,1.4017372,3.2490425e-06,3.5916037e-06,18352070.0,-1.8213286e-06
19411001,34.24,75.24,0,0001,-0.12417108,-0.04734509,0.0006677038,-0.03637791,0.0016058919,1.348217,5.207452e-06,9.3501274e-07,14801973.0,-2.1210479e-05
19411101,34.24,75.24,0,0001,-0.76397824,-0.3210929,0.0010388726,-1.0669622,-0.06364691,1.4116554,1.1725738e-05,2.1339856e-06,7620542.0,-4.7460504e-05
19411201,34.24,75.24,0,0001,-1.020731,-0.56034446,0.0016413655,-1.218544,0.18839675,1.6606998,1.8821593e-05,1.855552e-06,3973946.0,-4.3542284e-05
19420101,34.24,75.24,0,0001,-1.1026449,-0.7067557,0.0029025888,-1.6170263,-0.36539227,1.6947365,3.340606e-05,4.6807052e-08,3010150.0,-2.947962e-05
19420201,34.24,75.24,0,0001,-0.67922205,-0.29089844,0.006960213,-0.758706,0.49248487,1.3359632,8.016925e-05,8.28214e-07,2832219.0,-3.0677416e-05
19420301,34.24,75.24,0,0001,-1.0603971,-0.6532759,0.0034559392,-1.728797,-0.47605115,1.6033669,3.933134e-05,1.6059685e-06,4831905.0,-5.772183e-05
19420401,34.24,75.24,0,0001,-0.836727,-0.41761386,0.0029488,-1.3632717,-0.26268888,1.3026495,3.1949618e-05,4.8472313e-05,7732856.0,-0.00016714602
19420501,34.24,75.24,0,0001,-0.7459974,-0.29842108,0.0010837445,-1.2055588,-0.13669473,1.4360857,5.363041e-06,7.516722e-05,16409614.0,-0.00016059028
19420601,34.24,75.24,0,0001,-0.41380697,-0.07169306,0.0019034552,-0.6325074,-0.05625113,1.2330523,7.5952066e-06,6.0846025e-05,18578192.0,-7.818852e-05
19420701,34.24,75.24,0,0001,0.07356709,0.13383752,0.0060745664,0.15278196,0.1577521,1.0657873,5.8260756e-08,3.502499e-05,17251266.0,-2.9394214e-06
19420801,34.24,75.24,0,0001,0.17348617,0.12964094,0.0042760186,0.29510474,0.20931661,1.1388702,6.8542043e-09,0.0,18453578.0,1.0477379e-08
19420901,34.24,75.24,0,0001,0.0554516,0.17304397,0.0020991454,0.17549717,0.32018209,1.3078165,1.8598766e-06,9.458805e-07,18016160.0,-1.3924382e-06
19421001,34.24,75.24,0,0001,-0.378595,0.010189716,0.0011012792,-0.50887614,0.09614557,1.353507,1.08819995e-05,4.5305515e-06,11513745.0,-6.8728885e-05
19421101,34.24,75.24,0,0001,-0.9184526,-0.48932785,0.005143486,-1.2498198,-0.12699306,1.4055195,5.843387e-05,2.1022852e-06,4392480.0,-3.533029e-05
19421201,34.24,75.24,0,0001,-1.0379944,-0.64271957,0.004247099,-1.5701542,-0.2178194,1.6444178,4.9029797e-05,7.811627e-08,2497964.0,-1.3996366e-05
19430101,34.24,75.24,0,0001,-0.9044988,-0.5209847,0.0053274184,-1.3149338,0.12362677,1.4775448,6.155865e-05,0.0,2103063.0,-4.673945e-06
19430201,34.24,75.24,0,0001,-0.8495307,-0.43154377,0.0053907074,-1.0366516,0.4708566,1.542944,6.197662e-05,2.7623912e-07,3047484.0,-1.9481493e-05
19430301,34.24,75.24,0,0001,-0.773318,-0.3852678,0.007112317,-1.0892076,0.07553905,1.4448681,8.05992e-05,3.1412965e-06,4430208.0,-8.518151e-05
19430401,34.24,75.24,0,0001,-0.6460191,-0.26496178,0.0033186811,-1.0631046,-0.04995747,1.1761284,3.6512516e-05,3.7831647e-05,7541562.0,-0.0002487551
19430501,34.24,75.24,0,0001,-0.7502078,-0.23268485,0.003298293,-1.2950153,0.1116209,1.1813335,2.7229442e-05,0.00012327444,9162071.0,-0.00015925692
19430601,34.24,75.24,0,0001,-0.68431526,-0.39676315,0.00024009305,-1.1921349,-0.5130263,1.3192625,2.5733078e-07,7.891389e-05,19789956.0,-0.00015709702
19430701,34.24,75.24,0,0001,-0.48188746,-0.16925764,0.0013565165,-0.5591171,-0.1946038,1.0938568,6.511493e-08,0.00010553228,18175276.0,-7.5076736e-05
19430801,34.24,75.24,0,0001,0.113214076,0.17761934,0.0029789992,0.28360724,0.28291792,1.1621943,1.7135516e-08,3.130315e-05,17775882.0,1.347558e-07
19430901,34.24,75.24,0,0001,0.16783005,0.26981497,0.0012040695,0.35135466,0.48817527,1.3591967,3.6357125e-07,2.6045984e-07,18820230.0,-9.60521e-07
19431001,34.24,75.24,0,0001,-0.39566433,-0.020314172,0.0010580225,-0.593736,0.1792602,1.3427153,1.0268256e-05,3.6234705e-06,12156322.0,-3.638245e-05
19431101,34.24,75.24,0,0001,-1.0985394,-0.58177114,0.00096875615,-1.6409054,-0.30307126,1.5667515,1.06090365e-05,3.9744345e-06,7388052.0,-5.408212e-05
19431201,34.24,75.24,0,0001,-0.8797702,-0.44584906,0.0060935356,-1.1959,0.08407593,1.4059353,6.999726e-05,2.307774e-07,4161580.0,-2.8491777e-05
19440101,34.24,75.24,0,0001,-1.0639734,-0.68671054,0.0045666955,-1.6585274,-0.36125088,1.6143398,5.2781936e-05,3.460447e-08,2421659.0,-9.011162e-06
19440201,34.24,75.24,0,0001,-0.9247078,-0.5217717,0.0044887885,-1.4827003,-0.10171652,1.4379692,5.1696e-05,2.0016893e-07,3115738.0,-2.6864858e-05
19440301,34.24,75.24,0,0001,-1.0283995,-0.6554946,0.002152662,-1.8294325,-0.6967676,1.5008736,2.457168e-05,1.9134231e-06,5440911.0,-0.000101330384
19440401,34.24,75.24,0,0001,-0.8481548,-0.42354923,0.0025519908,-1.3860731,-0.21551216,1.3244314,2.5957153e-05,4.243714e-05,7124858.0,-9.6815565e-05
19440501,34.24,75.24,0,0001,-0.6766433,-0.30255896,0.00075178896,-1.067213,-0.21209097,1.3021612,3.2825847e-06,9.943823e-05,16314043.0,-0.00018292591
19440601,34.24,75.24,0,0001,-0.24672961,-0.034976102,0.0011552302,-0.34155637,-0.067539036,1.1839485,2.8520944e-06,6.712221e-05,20038170.0,-0.00010022834
19440701,34.24,75.24,0,0001,0.28813946,0.17468846,0.0057962276,0.44671708,0.18778473,1.1231308,0.0,1.3934602e-05,18408228.0,-1.2184482e-06
19440801,34.24,75.24,0,0001,0.25530714,0.13802433,0.0063382834,0.3662054,0.19390959,1.0686378,0.0,0.0,15661374.0,1.8626451e-08
19440901,34.24,75.24,0,0001,-0.066203594,0.22539914,0.0031523674,-0.012138195,0.48460335,1.3087244,7.94854e-06,7.6904735e-06,16506715.0,-1.6026373e-05
19441001,34.24,75.24,0,0001,-0.8536568,-0.32839996,0.0024148896,-1.2990112,-0.0151231475,1.4641275,1.8554289e-05,4.6059613e-06,10427641.0,-3.286617e-05
19441101,34.24,75.24,0,0001,-1.1866312,-0.6821632,0.0022251634,-1.6594362,-0.3407479,1.7205114,2.5193774e-05,1.2621222e-06,4856219.0,-4.9507784e-05
19441201,34.24,75.24,0,0001,-0.9407066,-0.50333416,0.00584409,-1.1300211,0.43559432,1.5804195,6.7177054e-05,1.559768e-07,2102318.0,-9.331411e-06
19450101,34.24,75.24,0,0001,-1.0434752,-0.67003584,0.003816676,-1.6685238,-0.328117,1.608777,4.4149696e-05,0.0,2411578.0,-1.2449192e-05
19450201,34.24,75.24,0,0001,-0.81902236,-0.50134206,0.003742083,-1.0737066,0.06514919,1.5249472,4.3048392e-05,7.398194e-08,3614323.0,-2.8188457e-05
19450301,34.24,75.24,0,0001,-0.7478117,-0.34789288,0.005939871,-0.9635845,0.274324,1.4215307,6.7904024e-05,2.2091072e-06,4136003.0,-5.6904988e-05
19450401,34.24,75.24,0,0001,-0.83592427,-0.45303607,0.0032101145,-1.5045881,-0.40826994,1.3590307,3.612647e-05,4.1915744e-05,8442493.0,-0.00027674646
19450501,34.24,75.24,0,0001,-0.7189035,-0.27932292,0.0021899764,-1.2785826,-0.18774205,1.189436,1.5055896e-05,9.960939e-05,12283755.0,-0.0001570253
19450601,34.24,75.24,0,0001,-0.57102805,-0.19431579,0.001394402,-1.017436,-0.19574642,1.2167158,6.1688106e-06,5.688009e-05,19682948.0,-0.00012206187
19450701,34.24,75.24,0,0001,-0.23599374,0.026966643,0.0013191602,-0.051290814,0.08051056,1.116539,1.9191776e-07,0.0001101595,18355824.0,-3.389579e-05
19450801,34.24,75.24,0,0001,0.12378144,0.16154617,0.0043902546,0.23280686,0.23294413,1.1991081,1.542196e-07,4.6540063e-06,18786756.0,-1.0781041e-06
19450901,34.24,75.24,0,0001,-0.08406037,0.080233455,0.0029227217,-0.06937218,0.16241664,1.2815018,8.275253e-06,4.7525773e-06,17150228.0,-1.1688643e-05
19451001,34.24,75.24,0,0001,-0.8631724,-0.28914523,0.0010341522,-1.1950579,-0.35500163,1.5775166,9.92661e-06,6.450314e-06,12486513.0,-9.52976e-05
19451101,34.24,75.24,0,0001,-1.1867199,-0.69060963,0.0015991372,-1.6910934,-0.35094476,1.6965122,1.8352715e-05,2.705231e-06,5944087.0,-5.230392e-05
19451201,34.24,75.24,0,0001,-1.3138189,-0.8694946,0.0013185753,-2.1615038,-0.7940032,1.8923683,1.5237024e-05,4.1755342e-08,3102290.0,-3.685082e-05
19460101,34.24,75.24,0,0001,-1.045063,-0.61515325,0.003235041,-1.5235853,0.026913952,1.7028484,3.710948e-05,1.661486e-07,2934515.0,-1.1981979e-05
19460201,34.24,75.24,0,0001,-1.001482,-0.6146963,0.0033545708,-1.6694651,-0.31326854,1.535922,3.844264e-05,4.439109e-07,3534252.0,-3.4599827e-05
19460301,34.24,75.24,0,0001,-0.7760308,-0.40308666,0.005488213,-1.2920198,-0.034131803,1.3485336,6.281433e-05,9.843889e-07,4080553.0,-5.9003272e-05
19460401,34.24,75.24,0,0001,-0.9390189,-0.552543,0.0013138272,-1.6035995,-0.51698124,1.4379072,1.2292929e-05,8.229287e-05,9589349.0,-0.00018762666
19460501,34.24,75.24,0,0001,-0.7056651,-0.32034272,0.001119979,-1.2641935,-0.332784,1.3745632,5.8895866e-06,2.5625326e-05,18324668.0,-0.0001322236
19460601,34.24,75.24,0,0001,-0.5023909,-0.13707149,0.0009857155,-0.8522267,-0.26034766,1.2736788,4.60558e-06,7.038766e-05,20913464.0,-0.00012686837
19460701,34.24,75.24,0,0001,0.3436365,0.27344579,0.0014730692,0.593314,0.2879194,1.2464571,0.0,1.753305e-05,21070584.0,-6.355378e-06
19460801,34.24,75.24,0,0001,0.38088828,0.40467697,0.0025539491,0.66181564,0.6331034,1.275547,5.140655e-08,3.4271032e-08,19242948.0,1.1817171e-08
19460901,34.24,75.24,0,0001,0.2651474,0.3109122,0.00068639964,0.52565134,0.5360832,1.4458961,7.676711e-07,8.841927e-07,19815788.0,1.9517739e-07
19461001,34.24,75.24,0,0001,-0.5219821,-0.11884278,0.0009863139,-0.70347834,-0.2399106,1.4142656,7.99275e-06,4.3296222e-06,12896847.0,-4.7030742e-05
19461101,34.24,75.24,0,0001,-0.3279071,0.08293176,0.0019479522,-0.351851,0.5354431,1.4877806,2.2389839e-05,8.511223e-07,9773201.0,-0.00012104258
19461201,34.24,75.24,0,0001,-1.0368662,-0.6388922,0.004105035,-1.4428358,0.020958748,1.7194862,4.730864e-05,1.0172516e-07,2295275.0,-1.0583538e-05
19470101,34.24,75.24,0,0001,-1.0997267,-0.70752877,0.0038908035,-1.7124901,-0.36316776,1.6852131,4.501063e-05,0.0,2411208.0,-9.881079e-06
19470201,34.24,75.24,0,0001,-0.9946292,-0.597674,0.0033331343,-1.5014992,-0.15956086,1.5503931,3.843561e-05,1.6675773e-07,3425160.0,-2.6059686e-05
19470301,34.24,75.24,0,0001,-1.0770292,-0.7448216,0.0024658968,-1.9115086,-0.91296834,1.614274,2.7029877e-05,3.5912226e-06,5578125.0,-9.041617e-05
19470401,34.24,75.24,0,0001,-0.856036,-0.37648344,0.0014383364,-1.4439697,-0.17882615,1.3786678,1.2690862e-05,8.970435e-05,11119802.0,-0.00023053054
19470501,34.24,75.24,0,0001,-0.67793643,-0.25741142,0.0038185394,-1.217248,-0.2620027,1.2291994,2.8936716e-05,3.1130476e-05,15894701.0,-9.724012e-05
19470601,34.24,75.24,0,0001,-0.33425516,-0.080780566,0.00033729477,-0.592038,-0.13268334,1.1917925,1.4393834e-07,9.206153e-05,21760712.0,-0.000114282564
19470701,34.24,75.24,0,0001,0.27734345,0.22523445,0.002957939,0.4819901,0.33490825,1.2997599,2.1248036e-07,9.595889e-06,21737234.0,-4.0862715e-06
19470801,34.24,75.24,0,0001,0.3379426,0.26134056,0.0046666637,0.5112611,0.3418771,1.1151485,0.0,0.0,17417316.0,2.3283064e-10
19470901,34.24,75.24,0,0001,0.018077075,0.1627357,0.0074950606,0.055943627,0.3158692,1.2161217,2.4160137e-05,8.403154e-06,15467117.0,-8.80303e-06
19471001,34.24,75.24,0,0001,-0.73056793,-0.267215,0.0012095093,-1.2137194,-0.168836,1.2917242,1.0328618e-05,5.1147417e-06,11010250.0,-5.4086122e-05
19471101,34.24,75.24,0,0001,-1.2487555,-0.7870254,0.0009957713,-1.8938313,-0.77550966,1.7653522,1.1300939e-05,1.3920562e-06,6448553.0,-9.290343e-05
19471201,34.24,75.24,0,0001,-1.1175604,-0.6806693,0.004812848,-1.6593513,-0.15412575,1.6932755,5.5375625e-05,3.7925543e-07,2684161.0,-3.7454825e-05
19480101,34.24,75.24,0,0001,-1.1934118,-0.79421544,0.0023357857,-1.9065876,-0.580512,1.7424278,2.6932845e-05,2.8041552e-07,2746103.0,-1.2665053e-05
